groff 1.23.0-8
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.23-1
gspell 1.14.2-1
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.28.0-2
gst-plugin-pipewire 1:1.4.10-2
gst-plugins-bad 1.28.0-2
gst-plugins-bad-libs 1.28.0-2
gst-plugins-base 1.28.0-2
gst-plugins-base-libs 1.28.0-2
gst-plugins-ugly 1.28.0-2
gstreamer 1.28.0-2
gtest 1.17.0-2
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtk-layer-shell 0.10.0-1
gtkmm3 3.24.10-1
gtkmm-4.0 4.20.0-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtk-update-icon-cache 1:4.20.3-1
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 12.3.2-1
harfbuzz-icu 12.3.2-1
haveged 1.9.19-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hunspell 1.7.2-3
hwdata 0.404-1
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
hwloc 2.13.0-1
hyphen 2.8.8-6
hyprcursor 0.1.13-3
hyprgraphics 0.5.0-1
hyprland 0.53.3-2
hyprland-guiutils 0.2.1-2
hyprlang 0.6.8-1
hyprpaper 0.8.3-2
hyprtoolkit 0.5.3-1
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-1
i2c-tools 4.4-4
iana-etc 20260203-1
icu 78.2-2
imagemagick 7.1.2.13-2
imath 3.2.2-3
inetutils 2.7-2
iniparser 4.2.6-2
iotop 0.6-13
iproute2 6.18.0-1
iptables-nft 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.11-2
jansson 2.15.0-1
jasper 4.2.8-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
json-c 0.18-2
jsoncpp 1.9.6-3
json-glib 1.10.8-1
judy 1.0.5-9
kaccounts-integration 25.12.2-1
kactivitymanagerd 6.6.0-1
karchive 6.23.0-1
kauth 6.23.0-1
kbd 2.9.0-1
kbookmarks 6.23.0-1
kcmutils 6.23.0-1
kcodecs 6.23.0-1
kcolorscheme 6.23.0-1
kcompletion 6.23.0-1
kconfig 6.23.0-1
kconfigwidgets 6.23.0-1
kcoreaddons 6.23.0-1
kcrash 6.23.0-1
kdbusaddons 6.23.0-1
kdeclarative 6.23.0-1
kde-cli-tools 6.6.0-1
kdecoration 6.6.0-1
kded 6.23.0-1
kde-gtk-config 6.6.0-1
kdeplasma-addons 6.6.0-1
kdesu 6.23.0-1
kdnssd 6.23.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
keyutils 1.6.3-3
kfilemetadata 6.23.0-1
kgamma 6.6.0-1
kglobalaccel 6.23.0-1
kglobalacceld 6.6.0-1
kguiaddons 6.23.0-1
kholidays 1:6.23.0-1
ki18n 6.23.0-1
kiconthemes 6.23.0-1
kidletime 6.23.0-1
kimageformats 6.23.0-1
kinfocenter 6.6.0-1
kio 6.23.0-1
kio-extras 25.12.2-1
kio-fuse 5.1.1-1
kirigami 6.23.0-1
kirigami-addons 1.11.0-1
kitemmodels 6.23.0-1
kitemviews 6.23.0-1
kjobwidgets 6.23.0-1
kmenuedit 6.6.0-1
kmod 34.2-1
knewstuff 6.23.0-1
knighttime 6.6.0-1
knotifications 6.23.0-1
knotifyconfig 6.23.0-1
kpackage 6.23.0-1
kparts 6.23.0-1
kpipewire 6.6.0-1
kpty 6.23.0-1
kquickcharts 6.23.0-1
kquickimageeditor 0.6.0-2
krb5 1.21.3-2
krdp 6.6.0-1
krunner 6.23.0-1
kscreen 6.6.0-1
kscreenlocker 6.6.0-1
kservice 6.23.0-1
ksshaskpass 6.6.0-1
kstatusnotifieritem 6.23.0-1
ksvg 6.23.0-1
ksystemstats 6.6.0-1
ktexteditor 6.23.0-1
ktextwidgets 6.23.0-1
kunitconversion 6.23.0-1
kuserfeedback 6.23.0-1
kwallet 6.23.0-1
kwallet-pam 6.6.0-1
kwayland 6.6.0-1
kwidgetsaddons 6.23.0-1
kwin 6.6.0-1
kwindowsystem 6.23.0-1
kwin-x11 6.6.0-1
kwrited 6.6.0-1
kxmlgui 6.23.0-1
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.0-1
lcms2 2.18-1
ldb 2:4.23.5-1
leancrypto 1.6.0-1
less 1:692-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.18.0-4
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.4-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
lib32-glib2 2.86.4-1
lib32-glibc 2.43+r5+g856c426a7534-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-icu 78.2-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.77-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.58-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.12-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.20.0-1
lib32-libnm 1.54.3-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.10-1
lib32-libpng 1.6.55-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.1-4
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.3.5-1
lib32-ncurses 6.6-1
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.120.1-1
lib32-nvidia-utils 590.48.01-1
lib32-openssl 1:3.6.1-1
lib32-p11-kit 0.26.2-1
lib32-pam 1.7.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.10-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-sqlite 3.51.2-1
lib32-systemd 259.1-1
lib32-util-linux 2.41.3-1
lib32-vulkan-icd-loader 1.4.341.0-1
lib32-wayland 1.24.0-1
